,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Stau2,0.0391558348992016,-0.579856399002414,0.043,0.105,1
Fnta,0.0391854765295047,0.261683549533298,0.234,0.421,1
Hccs,0.0393411110397327,0.259020776970846,0.138,0.263,1
Kif13a,0.0393651444850981,0.360999305787477,0.049,0.118,1
Kdm2a,0.03941066565072,0.336482587437608,0.122,0.237,1
Tmem243,0.0394792906818749,2.13328138241598,0.319,0.276,1
Prrc2a,0.0395398814317682,0.227594893454757,0.207,0.368,1
Pde8b,0.0395562367566513,0.243957693143534,0.184,0.329,1
Znhit6,0.0396304512479927,0.247162688045951,0.049,0.118,1
Trim33,0.0396312227167002,0.46123308329675,0.066,0.145,1
Emp2,0.0396421999813181,1.71447928092015,0.197,0.105,1
Nadk,0.0396481301966794,0.293684427720785,0.164,0.303,1
R3hdm1,0.0396836157381716,0.338883638976551,0.247,0.434,1
Rpl27-ps3,0.039713036426088,0.304788094264078,0.237,0.421,1
Tmem30a,0.0398607868540117,1.19438866403367,0.477,0.513,1
Coro7,0.0400047701389997,-0.645214113308267,0.043,0.105,1
Mmd,0.0400422616236308,0.239894238522106,0.326,0.579,1
Rrp7a,0.0401198834801072,0.229319638076189,0.158,0.289,1
Wdr75,0.0402911963645018,-0.650810976388308,0.043,0.105,1
Ap3m2,0.0402911963645018,-0.430336826057216,0.043,0.105,1
Ythdc1,0.0406269721366091,0.334718163560147,0.234,0.421,1
Samd9l,0.0407056325826969,2.42998494955232,0.161,0.079,1
Flna,0.0407410877644898,0.441920724970593,0.234,0.408,1
Cul5,0.0409107976706434,0.348804129477109,0.174,0.316,1
Sbf2,0.04100312193321,0.319801845372638,0.204,0.368,1
Yif1b,0.0410754914779039,0.213564911796798,0.283,0.487,1
Iqsec1,0.0410879345434122,0.911444235286378,0.112,0.224,1
Dag1,0.0412441293567923,0.264846172457998,0.197,0.355,1
Nrn1,0.0415011288292117,10.6070423205885,0.053,0,1
Iqcb1,0.0415011288292117,10.3645093145841,0.053,0,1
Cntnap1,0.0415011288292117,10.3415810293061,0.053,0,1
Gabra1,0.0415011288292117,10.332250722999,0.053,0,1
Wdr44,0.0415011288292117,10.0949961401096,0.053,0,1
Spry4,0.0415605117894966,0.239695857324419,0.066,0.145,1
Cntln,0.0418414020454687,-0.31599951311352,0.059,0.132,1
Abi2,0.0418776341432655,0.558612392628921,0.201,0.368,1
