,p_val,avg_log2FC,pct.1,pct.2,p_val_adj
Ankrd37,1.30646527267276e-05,-1.15146858023312,0.108,0.329,0.254029107618492
Pomp,1.30699873601335e-05,-0.490523479346257,0.523,0.826,0.254132834230436
Tmbim6,1.37762511467752e-05,-0.81080167333857,0.362,0.658,0.267865427297896
Stap2,1.38333730004842e-05,-2.06911878232542,0.031,0.197,0.268976104621414
Zfp706,1.43839688866923e-05,-0.711535300225092,0.308,0.612,0.279681891032845
Marcksl1,1.50585290974618e-05,-2.88052458359899,0.023,0.178,0.292798039771048
1700123O20Rik,1.51176721325059e-05,-1.79481725882093,0.038,0.211,0.293948016944445
Cnn2,1.52057096568446e-05,-0.871654053627882,0.123,0.349,0.295659818567687
Plin2,1.56856221898344e-05,-2.43832648721668,0.023,0.181,0.304991237859139
Apln,1.6255576620806e-05,-4.01909796039941,0.015,0.161,0.316073431814952
8430408G22Rik,1.63449266244957e-05,-1.67922337794505,0.085,0.276,0.317810753286695
Gtf2i,1.65262917842851e-05,-0.946324108626197,0.1,0.322,0.32133721745364
Fscn1,1.65836688361015e-05,-2.57220285582933,0.031,0.191,0.322452856849157
Vdac3,1.65844827043227e-05,-0.899200230633174,0.185,0.441,0.32246868170285
Psmb5,1.69325685884571e-05,-0.93204164487471,0.146,0.388,0.32923686363396
Agrn,1.7007096525604e-05,-0.805669769723191,0.308,0.605,0.330685984843844
Ergic3,1.70625603537976e-05,-0.621302395636498,0.131,0.375,0.331764423519241
Pdia3,1.78582610790662e-05,-0.778703706267815,0.208,0.477,0.347236028421362
Itm2a,1.84174737842617e-05,-0.484409920228284,0.869,0.964,0.358109360261185
Rell1,1.88053062317098e-05,-1.06783127093993,0.138,0.372,0.365650374369366
Ptgfrn,1.91252248392584e-05,-1.64521995437763,0.054,0.234,0.37187087177454
Gipc1,1.91335311176021e-05,-1.24464587317429,0.069,0.263,0.372032379050655
Mif,1.92428320133979e-05,-0.551131044560808,0.246,0.533,0.37415762566851
Wdr1,1.94953139452903e-05,-0.918737363760981,0.131,0.362,0.379066884352224
Rraga,1.99473566353303e-05,-1.14544690541699,0.115,0.336,0.387856402417362
Arf5,1.99482647041997e-05,-0.666590350001034,0.423,0.701,0.387874058908459
Clec14a,2.00292408580693e-05,-1.26240765016152,0.069,0.26,0.389448559244299
